时间戳,设备ID,通信地址,通道索引,通道名称,电压(V),电流(A)
2025-11-03 16:49:58.600,4,COM11,0,ELVDD_EX,8.146,1.082
2025-11-03 16:49:58.814,4,COM11,1,ELVSS_EX,-1087.742,-0.983
2025-11-03 16:49:59.178,4,COM11,2,VCC_EX,3017.940,1.247
2025-11-03 16:49:59.422,4,COM11,3,IOVCC_EX,1782.185,1.216
2025-11-03 16:49:59.740,4,COM11,4,IOVCC,0.000,0.000
2025-11-03 16:49:59.984,4,COM11,5,VCI,0.000,0.000
2025-11-03 16:50:00.322,4,COM11,6,VSP,0.000,0.000
2025-11-03 16:50:00.746,4,COM11,7,VSN,0.000,0.000
2025-11-03 16:50:00.963,8,COM14,0,ELVDD_EX,7.161,1.063
2025-11-03 16:50:01.270,8,COM14,1,ELVSS_EX,-1171.782,-0.960
2025-11-03 16:50:01.514,8,COM14,2,VCC_EX,2980.824,1.182
2025-11-03 16:50:01.843,8,COM14,3,IOVCC_EX,1798.971,1.138
2025-11-03 16:50:02.093,8,COM14,4,IOVCC,0.000,0.000
2025-11-03 16:50:02.417,8,COM14,5,VCI,0.000,0.000
2025-11-03 16:50:02.654,8,COM14,6,VSP,0.000,0.000
2025-11-03 16:50:02.992,8,COM14,7,VSN,0.000,0.000
2025-11-03 16:50:03.349,1,COM13,0,ELVDD_EX,9713.715,1.179
2025-11-03 16:50:03.613,1,COM13,1,ELVSS_EX,-2001.574,-0.316
2025-11-03 16:50:03.921,1,COM13,2,VCC_EX,2988.277,1.118
2025-11-03 16:50:04.177,1,COM13,3,IOVCC_EX,1784.431,1.194
2025-11-03 16:50:04.495,1,COM13,4,IOVCC,0.000,0.000
2025-11-03 16:50:04.723,1,COM13,5,VCI,0.000,0.000
2025-11-03 16:50:05.071,1,COM13,6,VSP,0.000,0.000
2025-11-03 16:50:05.288,1,COM13,7,VSN,0.000,0.000
2025-11-03 16:50:15.523,4,COM11,0,ELVDD_EX,8.070,1.076
2025-11-03 16:50:15.868,4,COM11,1,ELVSS_EX,-1087.750,-0.988
2025-11-03 16:50:16.089,4,COM11,2,VCC_EX,3018.010,1.248
2025-11-03 16:50:16.441,4,COM11,3,IOVCC_EX,1782.057,1.215
2025-11-03 16:50:16.654,4,COM11,4,IOVCC,0.000,0.000
2025-11-03 16:50:16.868,4,COM11,5,VCI,0.000,0.000
2025-11-03 16:50:17.173,4,COM11,6,VSP,0.000,0.000
2025-11-03 16:50:17.589,4,COM11,7,VSN,0.000,0.000
2025-11-03 16:50:17.841,8,COM14,0,ELVDD_EX,7.174,1.060
2025-11-03 16:50:18.178,8,COM14,1,ELVSS_EX,-1171.769,-0.959
2025-11-03 16:50:18.391,8,COM14,2,VCC_EX,2980.872,1.182
