时间戳,设备ID,通信地址,通道索引,通道名称,电压(V),电流(A)
2025-11-08 17:45:21.014,1,COM9,0,ELVDD_EX,7022.218,18.608
2025-11-08 17:45:21.354,1,COM9,1,ELVSS_EX,-1320.977,-0.480
2025-11-08 17:45:21.570,1,COM9,2,VCC_EX,2729.621,8.447
2025-11-08 17:45:21.928,1,COM9,3,IOVCC_EX,1805.151,313.287
2025-11-08 17:45:22.153,1,COM9,4,IOVCC,1800.000,0.000
2025-11-08 17:45:22.498,1,COM9,5,VCI,3008.000,0.000
2025-11-08 17:45:22.752,1,COM9,6,VSP,5392.000,0.000
2025-11-08 17:45:23.079,1,COM9,7,VSN,0.000,0.000
2025-11-08 17:45:33.492,5,COM7,0,ELVDD_EX,6841.107,30.346
2025-11-08 17:45:33.707,5,COM7,1,ELVSS_EX,-1249.602,-1.710
2025-11-08 17:45:34.064,5,COM7,2,VCC_EX,2721.692,7.531
2025-11-08 17:45:34.287,5,COM7,3,IOVCC_EX,1823.792,313.644
2025-11-08 17:45:34.639,5,COM7,4,IOVCC,1800.000,0.000
2025-11-08 17:45:34.858,5,COM7,5,VCI,3008.000,0.000
2025-11-08 17:45:35.213,5,COM7,6,VSP,5376.000,0.000
2025-11-08 17:45:35.430,5,COM7,7,VSN,0.000,14.099
2025-11-08 17:45:35.796,4,COM8,0,ELVDD_EX,6870.385,24.851
2025-11-08 17:45:36.014,4,COM8,1,ELVSS_EX,-1331.042,-1.603
2025-11-08 17:45:36.369,4,COM8,2,VCC_EX,2720.391,7.620
2025-11-08 17:45:36.584,4,COM8,3,IOVCC_EX,1808.543,264.634
2025-11-08 17:45:36.944,4,COM8,4,IOVCC,1808.000,0.000
2025-11-08 17:45:37.168,4,COM8,5,VCI,2816.000,0.000
2025-11-08 17:45:37.519,4,COM8,6,VSP,5392.000,0.000
2025-11-08 17:45:37.734,4,COM8,7,VSN,0.000,18.127
2025-11-08 17:45:38.050,1,COM9,0,ELVDD_EX,7046.347,29.250
2025-11-08 17:45:38.265,1,COM9,1,ELVSS_EX,-1324.532,-0.546
2025-11-08 17:45:38.623,1,COM9,2,VCC_EX,2728.403,8.404
2025-11-08 17:45:38.838,1,COM9,3,IOVCC_EX,1804.554,310.976
2025-11-08 17:45:39.196,1,COM9,4,IOVCC,1800.000,0.000
2025-11-08 17:45:39.428,1,COM9,5,VCI,3008.000,0.000
