FrameID,StartTime,EndTime,Duration,MOSI_Bytes,MISO_Bytes
1,0,0.000454844,0.000454844,0x4C 0x70 0xB8 0x5C 0x2E 0x17 0x0B 0x05 0x02 0x81 0xC0 0x60 0x30 0x98 0x4C 0x26 0x13 0x09 0x84 0x42 0xA1 0xD0 0xE8 0x74 0x3A 0x9D 0x4E 0xA7 0x53 0x29 0x14 0x0A 0x05 0x02 0x81 0x40 0xA0 0xD0 0xE8 0xF4 0xFA 0x7D 0x3E 0x9F 0x4F 0xA7 0x53 0x29 0x14 0x0A 0x05 0x82 0xC1 0xE0 0xF0 0xF8 0xFC 0xFE 0xFF 0x7F 0x3F 0x9F 0xCF 0xE7 0x73,0xB1 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
2,0.001504754,0.001504832,7.80E-08,,
3,0.001593954,0.00159403,7.60E-08,,
4,0.003000038,0.00302377,2.37E-05,0x4C 0x0F 0xF0,0x00 0x00 0x00
5,0.007004652,0.007396856,0.000392204,0x4C 0x05 0xFA 0x80 0x02 0x00 0x00 0x04 0x01 0x00 0x00 0x00 0x26 0x00 0x00 0xD0 0x25 0x00 0x00 0xAC 0x01 0x00 0x00 0xD8 0x25 0x00 0x00 0xE0 0x25 0x00 0x00 0xAC 0x01 0x00 0x00 0xE8 0x25 0x00 0x00 0xF0 0x25 0x00 0x00 0xAC 0x01 0x00 0x00 0xAC 0x01 0x00 0x00 0xAC 0x01 0x00 0x00 0xAC,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
6,0.163341094,0.163341168,7.40E-08,,
7,0.212905666,0.213298076,0.00039241,0x4C 0x05 0xFA 0x80 0x02 0x00 0x31 0x01 0x00 0x00 0xAC 0x01 0x00 0x00 0xAC 0x01 0x00 0x00 0xAC 0x01 0x00 0x00 0xF8 0x25 0x00 0x00 0x08 0x26 0x00 0x00 0x10 0x26 0x00 0x00 0x18 0x26 0x00 0x00 0xAC 0x01 0x00 0x00 0xAC 0x01 0x00 0x00 0x20 0x26 0x00 0x00 0xAC 0x01 0x00 0x00 0xAC 0x01,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
8,0.215998624,0.216390826,0.000392202,0x4C 0x05 0xFA 0x80 0x02 0x00 0x62 0x00 0x00 0xAC 0x01 0x00 0x00 0xAC 0x01 0x00 0x00 0xAC 0x01 0x00 0x00 0xAC 0x01 0x00 0x00 0xAC 0x01 0x00 0x00 0xAC 0x01 0x00 0x00 0xAC 0x01 0x00 0x00 0x98 0x1D 0x00 0x00 0xEC 0x1D 0x00 0x00 0x1C 0x1E 0x00 0x00 0x38 0x1E 0x00 0x00 0x54 0x1E 0x00,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
9,0.218004238,0.218396436,0.000392198,0x4C 0x05 0xFA 0x80 0x02 0x00 0x93 0x00 0x88 0x23 0x00 0x00 0x6C 0x20 0x00 0x00 0x8C 0x24 0x00 0x00 0x9C 0x20 0x00 0x00 0xFC 0x20 0x00 0x00 0x20 0x21 0x00 0x00 0x6C 0x21 0x00 0x00 0x88 0x21 0x00 0x00 0xA8 0x21 0x00 0x00 0xC0 0x21 0x00 0x00 0xD8 0x21 0x00 0x00 0x04 0x22 0x00 0x00,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
10,0.219998508,0.220390712,0.000392204,0x4C 0x05 0xFA 0x80 0x02 0x00 0xC4 0x1C 0x22 0x00 0x00 0x50 0x22 0x00 0x00 0x7C 0x22 0x00 0x00 0xB0 0x22 0x00 0x00 0xB4 0x24 0x00 0x00 0xD0 0x22 0x00 0x00 0xE8 0x22 0x00 0x00 0x00 0x23 0x00 0x00 0x18 0x23 0x00 0x00 0x44 0x23 0x00 0x00 0x5C 0x23 0x00 0x00 0x74 0x24 0x00 0x00 0xF4,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
11,0.221998452,0.222390654,0.000392202,0x4C 0x05 0xFA 0x80 0x02 0x00 0xF5 0x24 0x00 0x00 0x50 0x25 0x00 0x00 0xAC 0x01 0x00 0x00 0xAC 0x01 0x00 0x00 0x20 0xEA 0x00 0x80 0x00 0xC0 0x20 0x64 0x29 0x11 0x01 0xC0 0x21 0x64 0x80 0xC1 0x20 0x74 0x28 0x11 0x87 0x6F 0x08 0x11 0x28 0x11 0x49 0x11 0x86 0x60 0x40 0x3A 0x08 0x0C,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
12,0.223998392,0.224390596,0.000392204,0x4C 0x05 0xFA 0x80 0x02 0x01 0x26 0x60 0x90 0x60 0xB1 0x03 0x20 0x03 0x21 0x03 0x2A 0x40 0x3A 0xFA 0x0B 0x00 0xE0 0x28 0x4C 0x20 0x38 0x38 0x08 0x00 0x28 0x20 0x38 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03 0x6C 0x03,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
