No.,Time,Source,Destination,Protocol,Length,HID Data,HID DataRA,
981,5.509373,host,1.45.1,USB,91,40f10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40f10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
982,5.511428,1.45.1,host,USB,27,,,
983,5.512401,1.45.1,host,USB,91,40f10100020700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40f10100020700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
984,5.512416,host,1.45.1,USB,27,,,
985,5.512655,host,1.45.1,USB,91,40f20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40f20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
986,5.51542,1.45.1,host,USB,27,,,
987,5.516412,1.45.1,host,USB,91,40f20100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40f20100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
988,5.516442,host,1.45.1,USB,27,,,
989,5.516449,host,1.45.1,USB,91,40f00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40f00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
990,5.519422,1.45.1,host,USB,27,,,
991,5.519543,host,1.45.1,USB,91,40f30205010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40f30205010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
992,5.52341,1.45.1,host,USB,27,,,
993,5.523498,host,1.45.1,USB,91,40f80300000000000015180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40f80300000000000015180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
994,5.527399,1.45.1,host,USB,27,,,
995,5.527488,host,1.45.1,USB,91,40fc0300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40fc0300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
996,5.53142,1.45.1,host,USB,27,,,
997,5.531568,host,1.45.1,USB,91,40fc0400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40fc0400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
998,5.535416,1.45.1,host,USB,27,,,
999,5.535717,host,1.45.1,USB,91,40f802b8000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40f802b8000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1000,5.539416,1.45.1,host,USB,27,,,
1001,5.539534,host,1.45.1,USB,91,40f802d8000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40f802d8000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1002,5.543401,1.45.1,host,USB,27,,,
1003,5.548463,host,1.45.1,USB,91,40fa0065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40fa0065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1004,5.55169,1.45.1,host,USB,27,,,
1005,5.55177,host,1.45.1,USB,91,40fa0001020000384c70b85c2e170b050281c06030984c2613098442a1d0e8743a9d4ea75329140a05028140a0d0e8f4fa7d3e9f4fa75329140a0582c1e0f0f8,40fa0001020000384c70b85c2e170b050281c06030984c2613098442a1d0e8743a9d4ea75329140a05028140a0d0e8f4fa7d3e9f4fa75329140a0582c1e0f0f8,
1006,5.555424,1.45.1,host,USB,27,,,
1007,5.555545,host,1.45.1,USB,91,40fa000102010009fcfeff7f3f9fcfe77381c06030984c2613098442a1d0e8743a9d4ea75329140a05028140a0d0e8f4fa7d3e9f4fa75329140a0582c1e0f0f8,40fa000102010009fcfeff7f3f9fcfe77381c06030984c2613098442a1d0e8743a9d4ea75329140a05028140a0d0e8f4fa7d3e9f4fa75329140a0582c1e0f0f8,
1008,5.559411,1.45.1,host,USB,27,,,
1009,5.559544,host,1.45.1,USB,91,40fc0201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40fc0201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1010,5.563429,1.45.1,host,USB,27,,,
1011,5.563563,host,1.45.1,USB,91,40fa000102ddeeff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40fa000102ddeeff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1012,5.5674,1.45.1,host,USB,27,,,
1013,5.594406,1.45.1,host,USB,91,40ed0102ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0102ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1014,5.594429,host,1.45.1,USB,27,,,
1015,5.59445,host,1.45.1,USB,91,40fc0201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40fc0201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1016,5.595638,1.45.1,host,USB,27,,,
1017,5.595702,host,1.45.1,USB,91,40fa0001020000034c0ff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40fa0001020000034c0ff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1018,5.615435,1.45.1,host,USB,27,,,
1019,5.621413,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1020,5.621446,host,1.45.1,USB,27,,,
1021,5.621452,host,1.45.1,USB,91,40fc0200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40fc0200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1022,5.623416,1.45.1,host,USB,27,,,
1023,5.623534,host,1.45.1,USB,91,40fc0201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40fc0201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1038,5.639422,1.45.1,host,USB,27,,,
1039,5.639591,host,1.45.1,USB,91,40fa0001020000384c05fa800200000401000000260000d0250000ac010000d8250000e0250000ac010000e8250000f0250000ac010000ac010000ac010000ac,40fa0001020000384c05fa800200000401000000260000d0250000ac010000d8250000e0250000ac010000e8250000f0250000ac010000ac010000ac010000ac,
1042,5.647431,1.45.1,host,USB,27,,,
1045,5.6514,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1046,5.651403,host,1.45.1,USB,27,,,
1047,5.652749,host,1.45.1,USB,91,40fa0001020100384c05fa80020031010000ac010000ac010000ac010000f8250000082600001026000018260000ac010000ac01000020260000ac010000ac01,40fa0001020100384c05fa80020031010000ac010000ac010000ac010000f8250000082600001026000018260000ac010000ac01000020260000ac010000ac01,
1048,5.655427,1.45.1,host,USB,27,,,
1053,5.671405,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1054,5.671418,host,1.45.1,USB,27,,,
1055,5.671597,host,1.45.1,USB,91,40fa0001020200384c05fa800200620000ac010000ac010000ac010000ac010000ac010000ac010000ac010000981d0000ec1d00001c1e0000381e0000541e00,40fa0001020200384c05fa800200620000ac010000ac010000ac010000ac010000ac010000ac010000ac010000981d0000ec1d00001c1e0000381e0000541e00,
1058,5.67542,1.45.1,host,USB,27,,,
1063,5.691414,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1064,5.691445,host,1.45.1,USB,27,,,
1065,5.691548,host,1.45.1,USB,91,40fa0001020300384c05fa8002009300882300006c2000008c2400009c200000fc200000202100006c21000088210000a8210000c0210000d821000004220000,40fa0001020300384c05fa8002009300882300006c2000008c2400009c200000fc200000202100006c21000088210000a8210000c0210000d821000004220000,
1066,5.695434,1.45.1,host,USB,27,,,
1071,5.712405,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1072,5.712419,host,1.45.1,USB,27,,,
1073,5.712531,host,1.45.1,USB,91,40fa0001020400384c05fa800200c41c220000502200007c220000b0220000b4240000d0220000e82200000023000018230000442300005c23000074240000f4,40fa0001020400384c05fa800200c41c220000502200007c220000b0220000b4240000d0220000e82200000023000018230000442300005c23000074240000f4,
1076,5.71542,1.45.1,host,USB,27,,,
1081,5.732414,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1082,5.732437,host,1.45.1,USB,27,,,
1083,5.732617,host,1.45.1,USB,91,40fa0001020500384c05fa800200f524000050250000ac010000ac01000020ea008000c02064291101c0216480c120742811876f0811281149118660403a080c,40fa0001020500384c05fa800200f524000050250000ac010000ac01000020ea008000c02064291101c0216480c120742811876f0811281149118660403a080c,
1084,5.735429,1.45.1,host,USB,27,,,
1089,5.752413,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1090,5.752442,host,1.45.1,USB,27,,,
1091,5.752582,host,1.45.1,USB,91,40fa0001020600384c05fa80020126609060b103200321032a403afa0b00e0284c2038380800282038036c036c036c036c036c036c036c036c036c036c036c03,40fa0001020600384c05fa80020126609060b103200321032a403afa0b00e0284c2038380800282038036c036c036c036c036c036c036c036c036c036c036c03,
1094,5.755421,1.45.1,host,USB,27,,,
1099,5.772406,1.45.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
