No.,Time,Source,Destination,Protocol,Length,HID Data,Info
2377,13.639041,host,1.37.1,USB,91,40f10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT out
2378,13.641144,1.37.1,host,USB,27,,URB_INTERRUPT out
2381,13.647127,1.37.1,host,USB,91,40f10100020700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2382,13.647158,host,1.37.1,USB,27,,URB_INTERRUPT in
2383,13.647172,host,1.37.1,USB,91,40f20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT out
2386,13.649117,1.37.1,host,USB,27,,URB_INTERRUPT out
2389,13.655101,1.37.1,host,USB,91,40f20100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2390,13.655116,host,1.37.1,USB,27,,URB_INTERRUPT in
2391,13.655136,host,1.37.1,USB,91,40f00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT out
2394,13.657106,1.37.1,host,USB,27,,URB_INTERRUPT out
2395,13.657175,host,1.37.1,USB,91,40f30205010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT out
2396,13.659102,1.37.1,host,USB,27,,URB_INTERRUPT out
2397,13.659169,host,1.37.1,USB,91,40f80300000000000015180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT out
2400,13.661104,1.37.1,host,USB,27,,URB_INTERRUPT out
2401,13.661169,host,1.37.1,USB,91,40fc0300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT out
2402,13.663122,1.37.1,host,USB,27,,URB_INTERRUPT out
2403,13.663183,host,1.37.1,USB,91,40fc0400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT out
2406,13.665102,1.37.1,host,USB,27,,URB_INTERRUPT out
2407,13.665406,host,1.37.1,USB,91,40f802b8000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT out
2408,13.667102,1.37.1,host,USB,27,,URB_INTERRUPT out
2409,13.667145,host,1.37.1,USB,91,40f802d8000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT out
2410,13.669099,1.37.1,host,USB,27,,URB_INTERRUPT out
2411,13.673673,host,1.37.1,USB,91,40fa0065000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT out
2412,13.67513,1.37.1,host,USB,27,,URB_INTERRUPT out
2413,13.675274,host,1.37.1,USB,91,40fa0001020000384c70b85c2e170b050281c06030984c2613098442a1d0e8743a9d4ea75329140a05028140a0d0e8f4fa7d3e9f4fa75329140a0582c1e0f0f8,URB_INTERRUPT out
2414,13.677116,1.37.1,host,USB,27,,URB_INTERRUPT out
2415,13.677253,host,1.37.1,USB,91,40fa000102010009fcfeff7f3f9fcfe77381c06030984c2613098442a1d0e8743a9d4ea75329140a05028140a0d0e8f4fa7d3e9f4fa75329140a0582c1e0f0f8,URB_INTERRUPT out
2416,13.679112,1.37.1,host,USB,27,,URB_INTERRUPT out
2417,13.679247,host,1.37.1,USB,91,40fc0201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT out
2418,13.681102,1.37.1,host,USB,27,,URB_INTERRUPT out
2419,13.681654,host,1.37.1,USB,91,40fa000102ddeeff0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT out
2420,13.683117,1.37.1,host,USB,27,,URB_INTERRUPT out
2421,13.685118,1.37.1,host,USB,91,40ed0102ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2422,13.685152,host,1.37.1,USB,27,,URB_INTERRUPT in
